// J23 1304

'cause [ˈkɔːz]
decorator ['dekəreitə]
decorous ['dekərəs]
decorticate [.di'kɔ:tikeit]
decorum [di'kɔ:rəm]
decoy ['di:kɔi]
decoy-duck [di'kɔidʌk]
decrease ['di:kri:s]
decree [di'kri:]
decrement ['dekrimənt]
decrepit [di'krepit]
decrepitate [di'krepiteit]
decrepitation [di.krepi'teiʃ°n]
decrepitude [di'krepitju:d]
decrescent [di'krez°nt]
decretal [di'kri:t°l]
decretive [di'kri:tiv]
decretory [di'kri:təri]
decry [di'krai]
decuman ['dekjʋmən]
decumbent [di'kʌmbənt]
decuple ['dekjʋpl]
decussate [di'kʌseit]
dedicate ['dedikeit]
dedicated ['dedikeitid]
dedication [.dedi'keiʃ°n]
dedicatory ['dedikətəri]
deduce [di'dju:s]
deduct [di'dʌkt]
deduction [di'dʌkʃ°n]
deductive [di'dʌktiv]
deed poll ['di:dpəʋl]
deed [di:d]
deedful ['di:dfʋl]
deedless ['di:dlis]
deem [di:m]
deep [di:p]
deep-drawn ['di:p.drɔ:n]
deep-freeze [.di:p'fri:z]
deep-laid [.di:p'leid]
deep-mouthed [.di:p'maʋðd]
deep-rooted [.di:p'ru:tid]
deep-sea [.du:p'su:]
deep-seated [.du:p'su:tid]
deepen ['di:pən]
deeply ['di:pli]
deepness ['di:pnəs]
deer [diə]
deer-forest ['diə.fɒrist]
deer-park ['diəpk]
deerhound ['diəhaʋnd]
deerskin ['diəskin]
deerstalker ['diə.stɔ:kə]
deerstalking ['diə.stɔ:kiŋ]
deface [di'feis]
defacement [di'feismənt]
defalcate ['di:fælkeit]
defamation [.defə'meiʃ°n]
defamatory [di'fæmətəri]
defame [di'feim]
default [di'fɔ:lt]
defaulter [di'fɔ:ltə]
defeasance [di'fi:z°ns]
defeasible [di'fi:zəb°l]
defeat [di'fi:t]
defeatism [di'fi:t.iz°m]
defeatist [di'fi:tist]
defecate ['defəkeit]
defecation [.defə'keiʃ°n]
defect ['di:fekt]
defection [di'fekʃ°n]
defective [di'fektiv]
defector [di'fektə]
defence [di'fens]
defenceless [di'fensləs]
defend [di'fend]
defendant [di'fendənt]
defender [di'fendə]
defense [di'fens]
defensible [di'fensəb°l]
defensive [di'fensiv]
defensor [di'fensə]
defer [di'fз:]
deference ['defərəns]
deferent ['def°rənt]
deferential [.defə'renʃ°l]
deferment [di'fз:mənt]
defiance [di'faiəns]
defiant [di'faiənt]
defibrillation ['di:faibri'leiʃ°n]
deficiency [di'fiʃ°nsi]
deficient [di'fiʃənt]
deficit ['defəsit]
defilade [.defi'leid]
defile [di'fail]
defilement [di'failmənt]
definable [di'fainəb°l]
define [di'fain]
definite ['defənət]
definiteness ['definitnis]
definition [.defə'niʃ°n]
definitive [di'finətiv]
deflagrable ['defləgrəb°l]
deflagrate ['defləgreit]
deflagration [.deflə'greiʃ°n]
deflate [.di:'fleit]
deflation [.di:'fleiʃ°n]
deflationary [di'fleiʃ°n°ri]
deflator [di'fleitə]
deflect [di'flekt]
deflection [di'flekʃ°n]
deflective [di'flektiv]
deflector [di'flektə]
deflexion [di'flekʃ°n]
deflexure [di'flekʃə]
defloration [.dflɔ:'reiʃ°n]
defoliate [di:'fəʋlieit]
defoliation [di:.fəʋli'eiʃ°n]
deforest [.di:'fɒrist]
deforestation [di:.fɒrə'steiʃ°n]
deform [di'fɔ:m]
deformable [di'fɔ:məb°l]
deformation [.di:fɔ:'meiʃ°n]
deformed [di'fɔ:md]
deformity [di'fɔ:miti]
defraud [di'frɔ:d]
defraudation [.di:frɔ:'deiʃ°n]
defray [di'frei]
defrayable [di'freiəb°l]
defrayal [di'freiəl]
defrayment [di'freimənt]
defrock [.di:'frɒk]
defroster [di:'frɒstə]
deft [deft]
deftness ['deftnis]
defy [di'fai]
degas [di'gæs]
degeneracy [di'ʤenərəsi]
degenerate [di'ʤenərəit]
degeneration [di.ʤenə'reiʃ°n]
degenerative [di'ʤenərətiv]
degenerescence [diʤenə'res°ns]
degradation [.degrə'deiʃ°n]
degrade [di'greid]
degraded [di'greidid]
degree [di'gri:]
degression [di'greʃ°n]
degressive [di'gresiv]
dehisce [di'his]
dehiscent [di'hisnt]
dehorn [.di:'hɔ:n]
dehumanize [di:'hju:mənaiz]
dehumidifier [.di:hju:'midifaiə]
dehydrated [.di:hai'dreitid]
dehydration [.di:hai'dreiʃ°n]
dehydrogenize [.di:'haidrəʤinaiz]
deictic ['daiktik]
deific [di:'ifik]
deification [.deiifi'keiʃ°n]
deify ['di:ifai]
deign [dein]
deism ['di:iz°m]
deist ['di:ist]
deity ['deiəti]
deject [di'ʤekt]
dejection [di'ʤekʃ°n]
delate [di'leit]
delation [di'leiʃ°n]
delator [di'leitə]
delay [di'lei]
dele ['di:li:]
delectable [di'lektəb°l]
delectation [.di:lek'teiʃ°n]
delegate ['deligət]
delegation [.deli'geiʃ°n]
delegatory ['deligətəri]
delenda [di'lendə]
delete [di'li:t]
deleterious [.deli'tiəriəs]
deletion [di'li:ʃ°n]
delft [delft]
deliberate [di'libəreit]
deliberately [di'lib°rətli]
deliberateness [di'libəritnis]
deliberation [di.libə'reiʃ°n]
deliberative [di'libərətiv]
delicacy ['delikəsi]
delicate ['delikət]
delicatessen [.delikə'tes°n]
delicious [di'liʃəs]
delict ['di:likt]
delight [di'lait]
delighted [di'laitid]
delightful [di'laitf°l]
delimit [di:'limit]
delimitate [di'limiteit]
delimitation [di.limi'teiʃ°n]
delimitative [di'limitətiv]
delimiter [di'limitə]
delineation [di.lini'eiʃ°n]
delinquency [di'liŋkwənsi]
delinquent [di'liŋkwənt]
deliquesce [.deli'kwes]
deliquescence [.deli'kwes°ns]
delirious [di'liriəs]
deliriousness [di'liəriəs°nis]
delirium [di'liriəm]
delitescence [.deli'tes°ns]
delitescent [.deli'tes°nt]
deliver [di'livə]
deliverance [di'livərəns]
delivery [di'livəri]
dell [del]
Delphian ['delfiən]
Delphic ['delfik]
delphinium [del'finiəm]
delta ['deltə]
deltoid ['deltɔid]
delude [di'lu:d]
deluge ['delju:ʤ]
delusion [di'lju:ʒən]
delusive, delusory [di'lu:siv, -səri]
delusiveness [di'lu:sivnis]
delve [delv]
demagnetization [.di:mægnətai'zei-ʃ°n]
demagnetize [di:'mægnətaiz]
demagogic [.demə'gɒgik]
demagogue ['deməgɒg]
demagogy ['deməgɒgi]
demand [di'ma:nd]
demarcate ['dma:keit]
demarcation [.di:ma:'keiʃ°n]
demarcative [di:'ma:kətiv]
demarche ['deima:ʃ]
demean [di'mi:n]
demeanour [di'mi:nə]
dement [di'ment]
dementation [.di:men'teiʃ°n]
demented [di'mentid]
dementi [.deima:ŋ'ti:]
dementia [di'menʃə]
demerit [di:'merit]
demesne [di'mein]
demi- ['demi-]
demi-monde [.demi'mɒnd]
demi-rep ['demirep]
demigod ['demi.gɒd]
demijohn ['demiʤɒn]
demilitarize [di:'militəraiz]
demise [di'maiz]
demission [di'miʃ°n]
demit [di'mit]
demiurge ['demiз:ʤ]
demo ['deməʋ]
demob [di:'mɒb]
demobee [.di:mə'bi:]
demobilization [di.məʋbəlai'zeiʃ°n]
demobilize [di'məʋbəlaiz]
democracy [di'mɒkrəsi]
democrat ['deməkræt]
democratic [.demə'krætik]
democratize [di'mɒkrətaiz]
demographer [di:'mɒgrəfə]
demographic [.di:mə'græfik]
demographics [.demə'græfiks]
demography [di'mɒgrəfi]
demolish [di'mɒliʃ]
demolition [.demə'liʃ°n]
demon ['di:mən]
demonetize [di:'mʌnitaiz]
demonic [di'mɒnik]
demonstrable [di'mɒnstrəb°l]
demonstrate ['demənstreit]
demonstration [.demən'streiʃ°n]
demonstrationist [.demən'streiʃ°-nist]
demonstrative [di'mɒnstrətiv]
demonstrativeness [di'mɒnstrətivnis]
demonstrator ['demənstreitə]
demoralization [di.mɒrəlai'zeiʃ°n]
demoralize [di'mɒrəlaiz]
demoralized [di'mɒrəlaizd]
demoralizing [di.mɒrəlai'ziŋ]
demote [.di:'məʋt]
demotion [di'məʋʃ°n]
demount [di'maʋnt]
demountable [di'maʋntəb°l]
demulcent [di'mʌlsənt]
demur [di'mз:]
demure [di'mjʋə]
demureness [di'mjʋənis]
demurrage [di'mʌriʤ]
demurrer [di'mʌrə]
den [den]
denary ['di:nəri]
denationalization ['di:.næʃ°nəlai-'zeiʃ°n]
denationalize [di:'næʃ°nəlaiz]
denaturalization ['di:.næʧərəlai'zei-ʃ°n]
denaturalize [di:'næʧrəlaiz]
denaturation ['di:.neiʧə'reiʃ°n]
denature [di:'neiʧə]
denazification [di:.na:ʧifi'keiʃ°n]
denazify [di:'na:sifai]
dendrite ['dendrait]
dendrochronology [.dendrəʋkrə'nɒ-ləʤi]
dendrology [den'drɒləʤi]
dene [di:n]
dengue ['deŋgi]
deniable [di'naiəb°l]
denial [di'naiəl]
denigrate ['denigreit]
denigration [.deni'greiʃ°n]
denigrator ['denigreitə]
denim ['denim]
denitrify [di:'naitrifai]
denizen ['denizən]
denominate [di'nɒmineit]
denomination [di.nɒmi'neiʃ°n]
denominational [di.nɒmi'neiʃ°-n°l]
denominative [di'nɒminətiv]
denominator [di'nɒmineitə]
denotation [.di:nəʋ'teiʃ°n]
denotative [di'nəʋtətiv]
denote [di'nəʋt]
denotement [di'nəʋtmənt]
denouement [dei'nu:ma:ŋ]
denounce [di'naʋns]
denouncement [di'naʋnsmənt]
dense [dens]
densimeter [den'simitə]
density ['densiti]
dent [dent]
dental ['dent°l]
dentate ['denteit]
dentation [den'teiʃ°n]
denticle ['dentik°l]
denticular [den'tikjʋlə]
denticulate, denticulated [den'tikjʋlət, -id]
dentiform ['dentifɔ:m]
dentifrice ['dentifris]
dentine ['denti:n]
dentist ['dentist]
dentistry ['dentistri]
dentition [den'tiʃ°n]
denture ['denʧə]
denuclearization [di:.nju:kliərai'zei-ʃ°n]
denudate [di'nju:dit]
denudation [.di:njʋ'deiʃ°n]
denudative [di'nju:dətiv]
denude [di'nju:d]
denunciant [di'nʌnsiənt]
denunciation [di.nʌnsi'eiʃ°n]
denunciative [di'nʌnsiətiv]
denunciator [di'nʌnsieitə]
deny [di'nai]
deodorant [di'əʋdərənt]
deodorize [di'əʋdəraiz]
deodorizer [di'əʋdəraizə]
deontology [.di:ɒn'tɒləʤi]
deoxidate [.di:'ɒksideit]
deoxidize [.di:'ɒksidaiz]
depart [di'pa:t]
departed [di'pa:tid]
department store [di'pa:tmənt.stɔ:]
department [di'pa:tmənt]
departmental [.di:pa:t'ment°l]
departmentalism [.di:pa:t'mentəliz°m]
departure [di'pa:ʧə]
depasture [di:'pa:sʧə]
depauperate [di:'pɔ:pəreit]
depend [di'pend]
dependability [di.pendə'biliti]
dependable [di'pendəb°l]
dependant [di'pendənt]
dependence [di'pendəns]
dependency [di'pendənsi]
dependent [di'pendənt]
dephosphorize [di:'fɒsfəraiz]
depict [di'pikt]
depiction [di'pikʃ°n]
depictive [di'piktiv]
depicture [di'pikʧə]
depilate ['depileit]
depilation [.depi'leiʃ°n]
depilatory [di'pilətəri]
deplane [di:'plein]
deplenish [di'pleniʃ]
deplete [di'pli:t]
depletion [di'pli:ʃ°n]
depletive [di'pli:tiv]
depletory [di'pli:təri]
deplorable [di'plɔ:rəb°l]
deploration [.di:pɒ'reiʃ°n]
deplore [di'plɔ:]
deploy [di'plɔi]
deployment [di'plɔimənt]
deplume [di'plu:m]
depolarize [di:'pəʋləraiz]
depone [di'pəʋn]
deponent [di'pəʋnənt]
depopulate [di'pɒpjʋleit]
depopulation [di:.pɒpjʋ'leiʃ°n]
deport [di'pɔ:t]
deportation [.di:pɔ:'teiʃ°n]
deportee [.di:pɔ:'ti:]
deportment [di'pɔ:tmənt]
depose [di'pəʋz]
deposit [di'pɒzit]
depositary [di'pɒzitəri]
deposition [.depə'ziʃ°n]
depositor [di'pɒzitə]
depository [di'pɒzitəri]
depot ['depoʋ]
depravation [.deprə'veiʃ°n]
deprave [di'preiv]
depravity [di'prævəti]
deprecate ['deprikeit]
deprecation [.deprə'keiʃ°n]
deprecative ['deprəkeitiv]
deprecatory ['deprəkeitəri]
depreciate [di'pri:ʃieit]
depreciatingly [di'pri:ʃieitiŋli]
depreciation [di.pri:ʃi'eiʃ°n]
depreciatory [di'pri:ʃiətəri]
depredation [.depri'deiʃ°n]
depredator ['deprədeitə]
depredatory [di'predətəri]
depress [di'pres]
depressant [di'pres°nt]
depressed [di'prest]
depressible [di'presəb°l]
depressing [di'presiŋ]
depression [di'preʃ°n]
depressive [di'presiv]
depressor [di'presə]
deprivation [.depri'veiʃ°n]
deprive [di'praiv]
deprived [di'praivd]
depth bomb ['depθbɒm]
depth [depθ]
depth-gauge ['depθgeiʤ]
depthward ['depθwəd]
depuration [.depjʋ'reiʃ°n]
deputation [.depjʋ'teiʃ°n]
depute [di'pju:t]
deputize ['depjʋtaiz]
deputy ['depjʋti]
deputy-sheriff [.depjʋti'ʃerif]
derail [di:'reil]
derailment [di:'reilmənt]
derange [di'reinʤ]
derangement [di'reinʤmənt]
Derby ['da:bi]
deregulation [di.regjʋ'leiʃ°n]
derelict ['derilikt]
dereliction [.deri'likʃ°n]
deride [di'raid]
derisible [di'rizəb°l]
derision [di'riʒ°n]
derisive [di'raisiv]
derisory [di'raisəri]
derivable [di'raivəb°l]
derivation [.deri'veiʃ°n]
derivative [di'rivətiv]
derive [di'raiv]
derm(a) ['dз:mə]
dermal ['dз:m°l]
dermatic [dз:'mætik]
dermatitis [.dз:mə'taitis]
dermatology [.dз:mə'tɒləʤi]
derogate ['derəgeit]
derogation [.derə'geiʃ°n]
derogatory [di'rɒgətəri]
derrick ['derik]
derringer ['derinʤə]
desalination [di:.sæli'neiʃ°n]
desalt [.di:'sɔ:lt]
descant ['deskænt]
descend [di'send]
descendant [di'sendənt]
descendible [di'sendəb°l]
descensive [di'sensiv]
descent [di'sent]
describe [dis'kraib]
description [di'skripʃ°n]
descriptive [dis'kriptiv]
descry [dis'krai]
desecrate ['desikreit]
desecration [.desi'kreiʃ°n]
desensitization [di.sensitai'zeiʃ°n]
desert island ['dezət .ailənd]
desert [di'zз:t]
deserted ['di'zз:tid]
deserter [di'zз:tə]
desertion [di'zз:ʃ°n]
deserve [di'zз:v]
deservedly [di'zз:vidli]
deserving [di'zз:viŋ]
desiccant ['desikənt]
desiccate ['desikeit]
desiccation [.desi'keiʃ°n]
desiccator ['desikeitə]
desideratum [di.zidə'ra:təm]
design [di'zain]
designate ['dezignət]
designation [.dezig'neiʃ°n]
designative ['dezigneitiv]
designator ['dezigneitə]
designedly [di'zainidli]
designee [.dezig'ni:]
designer [di'zainə]
designful [di'zainfəl]
designing [di'zainiŋ]
desirability [di.zaiərə'biləti]
desirable [di'zaiərəb°l]
desire [di'zaiə]
desirous [di'zaiərəs]
desist [di'zist]
desk book ['deskbʋk]
desk [desk]
desktop ['desktɒp]
desman ['desmən]
desolate ['desələt]
desolateness ['desələtnis]
desolation [.desə'leiʃ°n]
despair [di'speə]
despairingly [di'speəriŋli]
despatch [di'spæʧ]
desperado [.despə'ra:dəʋ]
desperate ['despərət]
desperateness ['despəritnis]
desperation [.despə'reiʃ°n]
despicable [di'spikəb°l]
despise [di'spaiz]
despite [di'spait]
despoil [di'spɔil]
despoilment [di'spɔilmənt]
despoliation [di.spəʋli'eiʃ°n]
despond [dis'pɒnd]
despondence [dis'pɒndəns]
despondency [di'spɒndənsi]
despondent [di'spɒndənt]
despot ['despɒt]
despotic [di'spɒtik]
despotism ['despə.tiz°m]
desquamate ['deskwəmeit]
dessert [di'zз:t]
destabilization [di.stæbilai'zeiʃ°n]
destination [.desti'neiʃ°n]
destine ['destin]
destined ['destind]
destiny ['destəni]
destitute ['destitju:t]
destitution [.desti'tju:ʃ°n]
destroy [dis'trɔi]
destroyable [dis'trɔiəb°l]
destroyer [di'strɔiə]
destructibility [dis.trʌkti'biliti]
destructible [dis'trʌktəb°l]
destruction [di'strʌkʃ°n]
destructive [dis'trʌktiv]
destructiveness [dis'trʌktivnəs]
destructor [di'strʌktə]
desulphurize [di:'sʌlfəraiz]
desultory ['desəltəri]
detach [di'tæʧ]
detachable [di'tæʧəb°l]
detached [di'tæʧt]
detachment [di'tæʧmənt]
detail ['di:teil]
detailed ['di:teild]
detain [di'tein]
detainee [.di:tei'ni:]
detainer [di'teinə]
detank [di:'tæŋk]
detect [di'tekt]
detectable [di'tektəb°l]
detection [di'tekʃ°n]
detective [di'tektiv]
detector [di'tektə]
detent [di'tent]
detente ['deitɒnt]
detention [di'tenʃ°n]
deter [di'tз:]
detergent [di'tз:ʤənt]
deteriorate [di'tiəriəreit]
deterioration [di.tiəriə'reiʃ°n]
deteriorative [di'tiəriəreitiv]
determinable [di'tз:minəb°l]
determinant [di'tз:minənt]
determinate [di'tз:minit]
determination [di.tз:mi'neiʃ°n]
determinative [di'tз:minətiv]
determine [di'tз:min]
determined [di'tз:mind]
determiner [di'tз:minə(r)]
determinism [di'tз:mi.niz°m]
deterministic [di.tз:mi'nistik]
deterrence [di'terəns]
deterrent [di'terənt]
detersive [di'tз:siv]
detest [di'test]
detestable [di'testəb°l]
detestation [.di:te'steiʃ°n]
dethrone [di'θrəʋn]
dethronement [di'θrəʋnmənt]
detinue ['detinju:]
detonate ['detəneit]
detonating ['detəneitiŋ]
detonation [.detə'neiʃ°n]
detonator ['detəneitə]
detour ['deitʋə]
detox [di:'tɒks]
detoxication [di:.tɒksi'keiʃ°n]
detract [di'trækt]
detraction [di'trækʃ°n]
detractive [di'træktiv]
detractor [di'træktə]
detrain [di:'train]
detriment ['detrimənt]
detrimental [.detri'ment°l]
detrital [di'trait°l]
detrition [di'triʃ°n]
detritus [di'traitəs]
detruck [di:'trʌk]
detune [di:'tju:n]
deuce [dju:s]
deuced [dju:st]
deuterium [dju:'tiəriəm]
Deuteronomy [.dju:tə'rɒnəmi]
devastate ['devəsteit]
devastated ['devəsteitid]
devastating ['devəsteitiŋ]
devastation [.devə'steiʃ°n]
devastative ['devəsteitiv]
develop [di'veləp]
developer [di'veləpə]
development [di'veləpmənt]
developmental [di.veləp'ment°l]
deverbative [di:'vз:bətiv]
deviance ['di:viəns]
deviant ['di:viənt]
deviate ['dʌvieit]
deviation [.di:vi'eiʃ°n]
device [di'vais]
devil [dev°l]
devil's advocate ['dev°lz'ædvəkeit]
devil's bones ['dev°lzbəʋnz]
devil's books ['dev°lzbʋks]
devil's darning-needle [.dev°lz'd-niŋni:dl]
devil-may-care [.dev°lmei'keə]
devildom ['dev°ldəm]
devilfish ['dev°lfiʃ]
devilish ['dev°liʃ]
devilment ['dev°lmənt]
devilry ['dev°lri]
deviltry ['dev°ltri]
devious ['di:viəs]
devise [di'vaiz]
devisee [.devi'zi:]
deviser [di'vaizə]
devitalize [di:'vaitəlaiz]
devitrification [di:.vitrifi'keiʃ°n]
devocalize [di:'vəʋkəlaiz]
devoid [di'vɔid]
devoir ['devwa:]
devolution [.di:və'lu:ʃ°n]
devolve [di'vɒlv]
Devonian [de'vəʋniən]
devote [di'vəʋt]
devoted [di'vəʋtid]
devotedly [di'vəʋtidli]
devotee [.devəʋ'ti:]
devotion [di'vəʋʃ°n]
devotional [di'vəʋʃ°n°l]
devour [di'vaʋə]
devouringly [di'vaʋəriŋli]
devout [di'vaʋt]
devoutness [di'vaʋtnəs]
dew [dju:]
dew-claw ['dju:klɔ:]
dew-point ['dju:pɔint]
dewar ['dju:ə]
dewberry ['dju:bəri]
dewdrop ['dju:drɒp]
dewfall ['dju:fɔ:l]
dewiness ['dju:inəs]
dewlap ['dju:læp]
dewy ['dju:i]
dexterity [deks'terəti]
dexterous ['dekstərəs]
dextrin(e) ['dekstrin]
dextrous ['dekstrəs]
di- ['dai-]
dia- ['daiə-]
diabase ['daiəbeis]
diabetes [.daiə'bi:ti:z]
diabetic [.daiə'betik]
diablerie [di'a:bləri]
diabolic [.daiə'bɒlik]
diabolical [.da(i)ə'bɒlik°l]
diabolism [dai'æbəliz°m]
diacritic [.daiə'kritik]
diadem ['daiədem]
diagnose ['daiəgnəʋz]
diagnosis [.daiəg'nəʋsis]
diagnostic [.daiəg'nɒstik]
diagnostician [.daiəgnɒs'tiʃ°n]
diagnostics [.daiəg'nɒstiks]
diagonal [dai'ægən°l]
diagram ['daiəgræm]
diagrammatic(al) [.daiəgrə'mætik°l]
diagrammatize [.daiə'græmətaiz]
dial ['daiəl]
dialect ['daiəlekt]
dialectal [.daiə'lekt°l]
dialectic [.daiə'lektik]
dialectical [.daiə'lektik°l]
dialectician [.daiəlek'tiʃ°n]
dialectics [.daiə'lektiks]
dialectology [.daiəlek'tɒləʤi]
dialling code ['da(i)əliŋkəʋd]
dialogic [.daiə'lɒʤik]
dialogue ['daiəlɒg]
dialysis [dai'æləsis]
diameter [dai'æmitə]
diametral [dai'æmitrəl]
diametric(al) [.daiə'metrik°l]
diametrically [.daiə'metrikli]
diamine ['daiəmain]
diamond ['daiəmənd]
diapason [.daiə'peizn]
diaper ['daiəpə]
diaphanous [dai'æfənəs]
diaphoretic [.daiəfə'retik]
diaphragm ['daiəfræm]
diaphragmatic [.daiəfræg'mætik]
diarchy ['daia:ki]
diarist ['daiərist]
diarize ['daiəraiz]
diarrhea [.daiə'riə]
diarrhoea [.daiə'riə]
diary ['daiəri]
diaspora [dai'æspərə]
diastole [dai'æstəli]
diathermancy [.daiə'θз:mənsi]
diathermic [.daiə'θз:mik]
diathermy ['daiəθз:mi]
diathesis [dai'æθəsis]
diatom ['daiətɒm]
diatomic [.daiə'tɒmik]
diatonic [.daiə'tɒnik]
diatribe ['daiətraib]
dibasic [dai'beisik]
dibble [dib°l]
dibhole ['dibhəʋl]
dice [dais]
dice-box ['daisbɒks]
dicer ['daisə]
dicey ['daisi]
dichogamy [dai'kɒgəmi]
dichotomy [dai'kɒtəmi]
dichroic [dai'krəʋik]
dichromatic [.daikrəʋ'mætik]
dichromic [dai'krəʋmik]
dick [dik]
dickens ['dikinz]
dicker ['dikə]
dickey, dicky ['diki]
dicotyledon [.daikɒti'li:d°n]
dicotyledonous [.daikɒti'li:dənəs]
dicta ['diktə]
dictagraph ['diktəgra:f]
dictaphone ['diktəfəʋn]
dictate ['dikteit]
dictation [dik'teiʃ°n]
dictator [dik'teitə]
dictatorate [dik'teitərit]
dictatorial [.diktə'tɔ:riəl]
dictatorship [dik'teitəʃip]
diction [dikʃ°n]
dictionary ['dikʃən°ri]
dictograph ['diktəgra:f]
dictum ['diktəm]
did [did]
didactic [di'dæktik]
didacticism [dai'dæktisiz°m]
diddle [did°l]
didn't [did°nt]
dido ['daidəʋ]
didst [didst]
die [dai]
die-hard ['daiha:d]
dielectric [.daii'lektrik]
dies [.di:eiz]
Diesel [di:z°l]
diesinker ['dai.siŋkə]
diesis ['daiəsis]
diestock ['daistɒk]
diet ['daiət]
dietetic [.daiə'tetik]
dietitian [.daiə'tiʃ°n]
dif- [dif-]
differ ['difə]
difference ['difrəns]
different ['difrənt]
differentia [.difə'renʃiə]
differential [.difə'renʃ°l]
differentiate [.difə'renʃieit]
differentiation [.difərenʃi'eiʃ°n]
differently ['difrəntli]
difficult ['difikəlt]
difficulty ['difikəlti]
diffidence ['difidəns]
diffident ['difidənt]
diffract [di'frækt]
diffraction [di'frækʃ°n]
diffuse [di'fju:s]
diffuseness [di'fju:snəs]
diffuser [di'fju:zə]
diffusible [di'fju:zəb°l]
diffusion [di'fju:ʒ°n]
diffusive [di'fju:siv]
diffusivity [difju:'sivəti]
dig [dig]
digamy ['digəmi]
digastric [dai'gæstrik]
digest ['daiʤest]
digester [dai'ʤestə]
digestibility [dai.ʤestə'biləti]
digestible [dai'ʤestəb°l]
digestion [dai'ʤesʧ°n]
digestive [di'ʤestiv]
digger ['digə]
digging ['digiŋ]
digit ['diʤit]
digital ['diʤit°l]
digitalis [.diʤi'teilis]
dignified ['dignifaid]
dignify ['dignifai]
dignitary ['dignitəri]
dignity ['dignəti]
digraph ['daigra:f]
digress [dai'gres]
digression [dai'greʃ°n]
digressive [dai'gresiv]
dike [daik]
dilapidate [di'læpideit]
dilapidated [di'læpideitid]
dilatable [dai'leitəb°l]
dilatation [.dailei'teiʃ°n]
dilate [dai'leit]
dilation [dai'leiʃ°n]
dilative [dai'leitiv]
dilator [dai'leitə]
dilatory ['dilətəri]
dilemma [di'lemə]
dilettante [.dilə'tænti]
dilettantism [.dilə'tæntiz°m]
diligence ['diliʤəns]
diligent ['diliʤənt]
dill [dil]
dilly-dally ['dili.dæli]
diluent ['diljʋənt]
dilute [dai'lu:t]
dilutee [.dailu:'ti:]
dilution [dai'lu:ʃ°n]
diluvial [dai'lu:viəl]
diluvium [dai'lu:viəm]
dim [dim]
dime [daim]
dimension [dai'menʃ°n]
dimensional [dai'menʃ°nəl]
dimensionless [dai'menʃ°nləs]
dimerization [.daimərai'zeiʃ°n]
dimerous ['dimərəs]
dimeter ['dimitə]
dimethyl [dai'meθil]
dimidiate [di'midiət]
diminish [di'miniʃ]
diminishable [di'miniʃəb°l]
diminished [di'miniʃt]
diminution [.dimi'nju:ʃ°n]
diminutival [di'minjʋtiv°l]
diminutive [di'minjʋtiv]
dimity ['diməti]
dimmish ['dimiʃ]
dimness ['dimnəs]
dimorphic [dai'mɔ:fik]
dimorphism [dai'mɔ:fiz°m]
dimorphous [dai'mɔ:fəs]
dimple [dimp°l]
dimply ['dimp°li]
dimwit ['dimwit]
din [din]
dine [dain]
diner ['dainə]
dinette [.dai'net]
ding [diŋ]
dingbat ['diŋbæt]
dingdong ['diŋdɒŋ]
dinghy ['diŋi]
dingle [diŋg°l]
dingle-dangle [.diŋg°l'dæŋg°l]
dingo ['diŋgəʋ]
dingy ['dinʤi]
dining car ['dainiŋka:]
dining room ['dainiŋru:m]
dinkey ['diŋki]
dinky ['diŋki]
dinner bell ['dinəbel]
dinner jaket ['dinə.ʤækit]
dinner party ['dinə.pa:ti]
dinner ['dinə]
dinner-pail ['dinəpeil]
dinner-wagon ['dinə.wægən]
dinning room ['dainiŋ rʋm]
dint [dint]
diocesan [dai'ɔsis°n]
diocese ['daiəsis]
diode ['daiəʋd]
diopter, dioptre [dai'ɒptə]
dioptric [dai'ɒptrik]
diorama [.daiə'ra:mə]
dioxide [dai'ɒksaid]
dioxin [dai'ɒksin]
dip [dip]
diphasic [dai'feizik]
diphtheria [dif'θiəriə]
diphthong ['difθɒŋ]
diphthongal [dif'θɒŋg°l]
diphthongize ['difθɒngaiz]
diploid ['diplɔid]
diploma [di'pləʋmə]
diplomacy [di'pləʋməsi]
diplomaed [di'pləʋməd]
diplomat ['dipləmæt]
diplomatic [.diplə'mætik]
diplomatics [.diplə'mætiks]
diplomatist [di'pləʋmətist]
dipolar [dai'pəʋlə]
dipole ['daipəʋl]
dipper ['dipə]
dipping ['dipiŋ]
dippy ['dipi]
dipsetic [dip'setik]
dipsomania [.dipsəʋ'meiniə]
dipsomaniac [.dipsəʋ'meiniæk]
dipt [dipt]
dipteral ['diptərəl]
dipterous ['diptərəs]
dire ['daiə]
direct object [.dairekt 'ɒbʤikt]
direct speech [də'rekt spi:ʧ]
direct [di'rekt]
direction finder [də'rekʃ°n.faində]
direction [də'rekʃ°n]
directional [dai'rekʃ°n°l]
directive [di'rektiv]
directivity [.direk'tivəti]
directly [də'rektli]
directness [dai'rektnəs]
director [də'rektə]
directorate [də'rektərət]
directorial [di.rek'tɔ:riəl]
directorship [də'rektəʃip]
directory [di'rektəri]
directress [də'rektrəs]
directrix [də'rektriks]
direful ['daiəf°l]
dirge [dз:ʤ]
dirigible ['diriʤəb°l]
diriment ['dirimənt]
dirt [dз:t]
dirtily ['dз:tili]
dirtiness ['dз:tinəs]
dirty ['dз:ti]
dis- [dis-]
disability [.disə'biləti]
disable [dis'eib°l]
disabled [dis'eib°ld]
